Vendor Name,Vendor ID,Purchaser’s Order Number,Item ID,Item Description,Cost per Item,Quantity Ordered,Total Cost per Order,Order Date,Arrival Date,Accounts Payable Terms (Days)
Vendor A,1390,53295,125,Aluminum Sheets,33.04,20,660.8,2024-01-03,2024-01-14,54
Vendor A,1610,55107,399,Steel Bolts,34.85,448,15612.8,2024-01-26,2024-01-30,24
Vendor C,1479,56537,344,Steel Bolts,10.61,460,4880.6,2024-02-01,2024-02-15,30
Vendor B,1541,56118,357,Aluminum Sheets,45.5,401,18245.5,2024-02-23,2024-03-04,23
Vendor B,1257,57177,371,Titanium Plates,27.82,304,8457.28,2024-03-13,2024-03-28,45
Vendor B,1994,58479,180,Aluminum Sheets,35.01,204,7142.04,2024-02-01,2024-02-15,57
Vendor A,1566,57397,129,Titanium Plates,19.68,254,4998.72,2024-03-02,2024-03-15,22
Vendor A,1881,51982,360,Copper Wires,36.37,13,472.81,2024-03-04,2024-03-14,51
Vendor D,1965,54061,141,Carbon Fiber Panels,29.95,492,14735.4,2024-01-04,2024-01-08,28
Vendor A,1011,53681,195,Copper Wires,13.63,190,2589.7,2024-02-08,2024-02-14,44
Vendor A,1696,51049,135,Carbon Fiber Panels,34.92,162,5657.04,2024-02-22,2024-03-07,59
Vendor A,1738,55539,404,Steel Bolts,22.06,395,8713.7,2024-02-02,2024-02-09,31
Vendor B,1117,50344,134,Steel Bolts,38.67,209,8082.03,2024-03-26,2024-04-07,38
Vendor B,1698,59638,445,Steel Bolts,12.83,446,5722.18,2024-02-18,2024-02-28,25
Vendor A,1906,59075,220,Titanium Plates,30.61,466,14264.26,2024-03-12,2024-03-23,53
Vendor B,1549,53770,306,Carbon Fiber Panels,23.27,498,11588.46,2024-02-15,2024-02-24,53
Vendor D,1768,59641,161,Steel Bolts,42.52,437,18581.24,2024-03-12,2024-03-20,60
Vendor B,1273,53608,391,Aluminum Sheets,18.67,224,4182.08,2024-02-16,2024-03-01,22
Vendor D,1787,50117,226,Carbon Fiber Panels,14.46,285,4121.1,2024-02-29,2024-03-07,25
Vendor C,1656,51163,396,Carbon Fiber Panels,40.36,392,15821.12,2024-02-10,2024-02-17,34
Vendor A,1348,50964,404,Titanium Plates,32.3,386,12467.8,2024-01-31,2024-02-04,21
Vendor B,1114,53750,120,Copper Wires,19.5,289,5635.5,2024-01-26,2024-02-03,52
Vendor D,1300,51104,417,Titanium Plates,24.88,419,10424.72,2024-01-17,2024-01-31,16
Vendor C,1445,50514,141,Steel Bolts,35.4,318,11257.2,2024-03-10,2024-03-25,34
Vendor C,1161,55413,314,Aluminum Sheets,28.0,469,13132.0,2024-03-30,2024-04-04,51
Vendor B,1464,51160,436,Aluminum Sheets,40.72,122,4967.84,2024-01-26,2024-02-01,58
Vendor B,1003,58423,398,Steel Bolts,48.19,259,12481.21,2024-03-03,2024-03-10,39
Vendor C,1976,53899,389,Aluminum Sheets,38.12,122,4650.64,2024-03-17,2024-04-01,40
Vendor A,1739,54562,367,Titanium Plates,34.65,149,5162.85,2024-03-09,2024-03-21,60
Vendor A,1896,57953,261,Titanium Plates,17.77,233,4140.41,2024-02-07,2024-02-11,27
Vendor D,1736,53510,233,Steel Bolts,34.87,258,8996.46,2024-01-26,2024-02-02,19
Vendor A,1269,58834,204,Aluminum Sheets,32.87,24,788.88,2024-01-31,2024-02-08,52
Vendor C,1995,52167,442,Carbon Fiber Panels,9.2,209,1922.8,2024-01-24,2024-01-31,59
Vendor C,1512,59355,466,Copper Wires,47.84,182,8706.88,2024-01-03,2024-01-17,55
Vendor C,1780,59440,260,Carbon Fiber Panels,15.57,352,5480.64,2024-03-10,2024-03-15,30
Vendor A,1182,57744,222,Titanium Plates,18.97,357,6772.29,2024-02-06,2024-02-09,21
Vendor D,1519,53981,235,Titanium Plates,41.3,418,17263.4,2024-01-08,2024-01-19,59
Vendor A,1934,57749,302,Titanium Plates,11.63,217,2523.71,2024-02-08,2024-02-22,34
Vendor D,1108,56669,167,Titanium Plates,7.08,380,2690.4,2024-01-18,2024-01-31,58
Vendor A,1891,53119,443,Copper Wires,49.28,94,4632.32,2024-03-04,2024-03-08,53
Vendor C,1640,51545,430,Steel Bolts,32.51,440,14304.4,2024-01-03,2024-01-15,22
Vendor C,1305,51588,253,Titanium Plates,39.58,249,9855.42,2024-02-07,2024-02-17,51
Vendor B,1861,57062,334,Aluminum Sheets,25.49,480,12235.2,2024-03-03,2024-03-13,17
Vendor A,1654,55804,261,Copper Wires,44.88,75,3366.0,2024-02-14,2024-02-19,37
Vendor A,1519,56939,484,Titanium Plates,30.91,328,10138.48,2024-01-08,2024-01-15,49
